City,Jan.,Feb.,Mar.,Apr.,May.,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
Suzhou,2419959,2009263,2108419,1952891,2148105,2973124,2020618,2100100,2306566,2418212,3449184,2570464
Maoming,873562,412737,444921,429843,440712,640435,482136,495470,564876,528391,762719,580584
Jingzhou,544253,283757,290001,284334,306631,421470,313244,322976,394016,367204,476263,373355
Jingmen,329761,200248,210792,207116,222076,300496,220730,235787,271748,261118,336579,270013
Putian,555473,349317,408444,400031,411161,597046,369770,417852,469080,460264,643536,473915
Heze,994163,601453,654079,620062,692911,907466,672003,767799,871608,802001,1019224,829821
Pingxiang,162715,103605,109608,101851,111974,158290,111962,118273,143665,139369,187679,144120
Yingkou,361898,224639,249769,236436,253288,344644,262072,277658,312900,313424,396179,302389
Huludao,338665,206871,236217,226711,247327,334782,304161,301516,325704,309618,386398,289237
Bengbu,340199,240953,264931,248586,275223,379202,254317,288025,362897,350644,463432,341971
Hengshui,452885,243323,257394,250499,269998,379034,267099,295318,348689,322231,425087,339122
Hengyang,527907,267778,252960,245788,260945,384735,251355,278624,349092,325048,486833,326191
Quzhou,250365,174821,186301,179757,197207,261621,189232,200279,227634,230334,308198,241792
Xiangyang,450518,272826,270308,265278,281611,410283,291660,302678,377290,337405,473904,352510
Xishuangbanna,103259,76952,80445,71589,69166,85392,69297,69832,71733,72455,107392,108145
Xining,251764,216418,220228,197019,206874,265863,205823,213753,248534,228858,302623,228090
Xi'an,2231989,1877973,2026926,1643963,1627680,1915883,1478464,1541953,1759830,1692649,2321913,1724959
Xuchang,389755,272120,296922,290967,316804,418314,297651,324131,360666,340334,446478,351661
Guigang,416862,249252,248550,236985,256159,329981,245189,274856,304750,297903,375477,312355
Guiyang,547628,481188,463128,418577,433902,574215,458902,513374,496585,496575,669293,482596
Hezhou,232456,150819,154106,148592,161657,206059,155902,174308,185840,177535,224531,190762
Ziyang,353808,222598,222761,227204,240829,293157,245426,267512,291030,284935,335008,297323
Ganzhou,630245,396485,395701,397580,436340,597738,394517,433223,553543,491237,694019,521769
Chifeng,385696,243188,246622,222288,237645,329041,241756,258989,297721,271472,359771,292754
Liaoyuan,81833,59902,67608,63529,70353,95112,73370,81967,85052,84637,105258,83085
Liaoyang,330473,189151,207664,198269,215461,294430,217455,229779,269694,258292,320497,260643
Dazhou,572921,333748,328696,310909,331774,441207,346448,369551,417459,382921,473278,393594
Yuncheng,345725,207405,214756,207341,220479,336479,221336,237125,304219,276061,380555,265804
Lianyungang,775666,505119,555301,547128,587464,797678,585717,632812,767536,716775,958566,723494
Diqing,5716,7850,9366,9529,10187,13074,11921,12201,11148,10685,11745,9542
Tonghua,239795,166379,179871,170281,184943,239698,195841,219158,221495,216258,259074,217346
Tongliao,265650,207744,222418,204419,225180,277770,228101,244823,271780,259814,303502,261628
Suining,446951,285790,292371,288162,307235,381844,327619,344738,380964,362041,444204,383524
Zunyi,308602,246049,237438,218611,232782,291580,272056,285266,282520,268591,324711,266612
Xingtai,856003,498142,541946,530450,575016,778172,552490,622714,694120,665411,860473,692509
Naqu,,,,,,,,,,,,18
Handan,1029709,615932,642977,621577,699289,941306,659398,747981,856744,814574,1087511,862564
Shaoyang,601124,357705,364751,345945,377423,503162,376954,405044,475542,459292,639668,496206
Zhengzhou,1560889,1290586,1257140,1151551,1216751,1680176,1132390,1214264,1390454,1392610,2033920,1364622
Chenzhou,379911,229242,246061,236404,259217,369032,257035,287551,349033,333038,448563,352300
Ordos,232082,248231,266555,234699,247629,310756,253027,288209,340428,323118,406830,349880
Ezhou,182201,130197,139001,144231,167583,202390,145478,167676,188212,180478,233221,197411
Jiuquan,73043,74866,82955,79803,86971,111809,88431,91432,103664,98672,127370,96185
Chongqing,6609907,5253980,5567111,5453262,5760735,7382119,5807510,6036768,6887285,6846541,8333363,6750286
Jinhua,535838,487327,531782,487700,520199,762460,510445,528929,645005,601197,887789,617770
Jinchang,42769,34040,33783,31403,33973,47634,38361,40002,40967,41188,52300,42592
Qinzhou,282274,183146,191923,182841,196508,250925,187123,209325,238808,229076,288095,242069
Tieling,363746,216330,237703,230114,251487,335307,259448,276553,305655,297000,356739,306744
Tiemenguan,6628,10226,13548,10905,11402,11827,8961,12060,14814,16285,20660,15365
Tongren,147123,116324,111490,102836,115400,146189,119847,135758,140514,131915,173149,137879
Tongchuan,133013,88272,96435,90443,98561,123750,107045,109913,117227,111106,138741,119325
Tongling,174172,102902,110661,105530,117773,173860,125085,121573,148237,153389,197251,149524
Yinchuan,316459,268557,279709,248618,265864,356362,256036,310451,321341,317557,434345,326681
Xilin Gol,89774,73058,81995,74809,92679,127583,108506,101964,116396,101274,125931,90004
Jinzhou,279374,165957,190716,170512,182864,245422,177385,195273,227589,224579,307976,223352
Zhenjiang,568786,418489,443151,418952,471743,694395,554686,583499,723818,717419,941758,757582
Changchun,1309696,918136,997055,915731,982339,1327776,997664,1060714,1135567,1138281,1523478,1157568
Changsha,1307116,1258884,1187216,1136055,1207460,1823331,1198083,1220969,1507184,1467711,2248033,1453995
Changzhi,260227,162737,175556,161340,174818,244434,187335,197181,211257,207816,272692,194033
Fuxin,177859,110485,119843,121695,131095,172616,126766,138195,156781,158327,193700,149144
Fuyang,577534,365452,362732,358488,415012,559432,379946,387942,469570,416172,572880,417320
Fangchenggang,154624,121693,133662,126705,135601,167653,128566,140010,146305,147395,189012,163112
Yangjiang,509019,311939,349900,332723,351971,471597,344997,373924,409861,391111,524407,421301
Yangquan,122768,76510,80043,76749,82441,115524,88216,103100,118856,113241,151424,115677
Aksu,113195,139424,154528,137946,140052,178768,121209,147478,162411,159770,217737,163899
Altai,55447,62683,68902,62462,64686,81348,61862,67422,71505,70098,95206,74835
Aba,25761,23684,25502,23756,25726,31819,29786,29208,27898,27391,31498,28869
Alxa,16798,16041,17785,15801,17293,22041,17723,19208,20891,20158,27571,21602
Alaer,27906,37907,48674,41241,40376,48403,30348,37831,49930,51414,65203,44777
Ali,9569,4271,10912,15085,14435,15956,15843,18916,20255,20582,25065,18790
Longnan,101944,81834,84610,81529,86835,114159,94013,101514,107887,101553,137653,109680
Lingshui,305745,135745,103310,77281,62666,71664,70703,75523,76541,99713,170163,226230
Suizhou,279147,161860,173952,169947,182535,238286,181814,194046,230496,215551,263734,222340
Ya'an,209306,157784,163344,160740,174880,215998,195621,203409,204669,202038,242115,215301
Qingdao,2126634,1406677,1426898,1352294,1438450,2115147,1389119,1481507,1631662,1618550,2467603,1658079
Anshan,568695,365767,406354,375415,411532,571601,412566,455257,500177,504659,649517,500484
Shaoguan,671515,377109,417438,418038,449102,593546,418778,455152,564900,510199,647161,549033
Ma'anshan,301032,218226,238976,224884,247832,354044,236759,249989,299593,308509,417482,317206
Zhumadian,507741,284710,278936,258253,292966,389024,274540,300460,361282,323090,435075,324280
Jixi,71551,59341,64532,59407,68636,98803,69396,75090,86230,78818,99758,77788
Hebi,95741,63191,65354,61774,68266,94540,63592,71067,81368,76403,109923,78131
Hegang,62264,43237,45505,42492,48427,71699,48467,52990,59955,55613,71020,56555
Yingtan,115868,81563,82441,75752,85650,114351,85339,87779,99786,105167,140880,113272
